
date, value 
2020-06-19T00:00:00.000Z, 939963 
2019-12-18T00:00:00.000Z, 661808 
2020-06-17T00:00:00.000Z, 951370 
2020-06-16T00:00:00.000Z, 933362 
2020-06-15T00:00:00.000Z, 935845 
2020-06-14T00:00:00.000Z, 945784 
2020-06-13T00:00:00.000Z, 946821 
2020-06-12T00:00:00.000Z, 944012 
2020-06-11T00:00:00.000Z, 983930 
2020-06-10T00:00:00.000Z, 974031 
2020-06-09T00:00:00.000Z, 978070 
2020-06-08T00:00:00.000Z, 971486 
2020-06-07T00:00:00.000Z, 966967 
2020-06-06T00:00:00.000Z, 968149 
2020-06-05T00:00:00.000Z, 970952 
2020-06-04T00:00:00.000Z, 963888 
2020-06-03T00:00:00.000Z, 972549 
2020-06-02T00:00:00.000Z, 997960 
2020-06-01T00:00:00.000Z, 947875 
2020-05-31T00:00:00.000Z, 964028 
2020-05-30T00:00:00.000Z, 943002 
2020-05-29T00:00:00.000Z, 945411 
2020-05-28T00:00:00.000Z, 910501 
2020-05-27T00:00:00.000Z, 885647 
2020-05-26T00:00:00.000Z, 886104 
2020-05-25T00:00:00.000Z, 888859 
2020-05-24T00:00:00.000Z, 917498 
2020-05-23T00:00:00.000Z, 917465 
2020-05-22T00:00:00.000Z, 914263 
2020-05-21T00:00:00.000Z, 959807 
2020-05-20T00:00:00.000Z, 978590 
2020-05-19T00:00:00.000Z, 967965 
2020-05-18T00:00:00.000Z, 971780 
2020-05-17T00:00:00.000Z, 940045 
2020-05-16T00:00:00.000Z, 937220 
2020-05-15T00:00:00.000Z, 972544 
2020-05-14T00:00:00.000Z, 925413 
2020-05-13T00:00:00.000Z, 880148 
2020-05-12T00:00:00.000Z, 867308 
2020-05-11T00:00:00.000Z, 865711 
2020-05-10T00:00:00.000Z, 960867 
2020-05-09T00:00:00.000Z, 987249 
2020-05-08T00:00:00.000Z, 977376 
2020-05-07T00:00:00.000Z, 917162 
2020-05-06T00:00:00.000Z, 898207 
2020-05-05T00:00:00.000Z, 886681 
2020-05-04T00:00:00.000Z, 888396 
2020-05-03T00:00:00.000Z, 896113 
2020-05-02T00:00:00.000Z, 880746 
2020-05-01T00:00:00.000Z, 867641 
2020-04-30T00:00:00.000Z, 860717 
